Class,Monday,Tuesday,Wednesday,Thursday,Friday
PK207,2,2,4,3,"1, 3"
PK214,"2, 5","3, 5","1, 5","5, 7","2, 3, 5"
PK208,"2, 5","7, 5","2, 5","2, 5","3, 5, 7"
PK213,"2, 6","1, 6","6, 8","2, 6","3, 4, 6"
PK209,"4, 6","6, 6","2, 8","1, 6","2, 3, 6"
K-313,1,4,"2, 4",4,8
K-309,1,7,"2, 7",3,1
K-311,1,7,"2, 7",1,3
K-310,1,4,"2, 7",4,2
K-312,1,4,"2, 4",7,3
1-407,2,1,1,"2, 4",7
1-409,4,1,3,"2, 5",4
1-408,4,1,8,"2, 4",2
1-410,4,1,3,"2, 4",1
"K, 1, 2-417",7,1,4,"2, 4",2
2-411,7,"2, 8",1,8,2
2-414,7,"2, 4",1,1,4
2-412,7,"2, 4",1,7,6
2-413,7,"2, 7",1,4,6
3-418,8,3,"3, 8",1,8
3-420,4,7,"3, 8",1,2
3-416,"2, 8","5, 8","3, 7, 8",1,"3, 4"
3-419,8,5,"3, 8",1,5
3-415,8,2,"3, 7",1,7
4-509,1,8,3,"3, 8",1
4-508,2,6,7,"3, 6",1
4-510,6,7,1,"3, 6",1
4-515,6,1,6,"3, 7",1
"3, 4, 5-518",3,8,7,"3, 8",1
5-513,3,"3, 8",1,7,8
5-514,3,"3, 4",4,7,7
5-512,3,"3, 8",5,7,8
5-511,3,"3, 7",4,4,8
